A:03 F:70 B:00 C:13 D:00 E:D8 H:01 L:4D SP:FFFE PC:019D PCMEM:FE,94,20,FA
A:03 F:70 B:00 C:13 D:00 E:D8 H:01 L:4D SP:FFFE PC:019F PCMEM:20,FA,3E,03
A:03 F:70 B:00 C:13 D:00 E:D8 H:01 L:4D SP:FFFE PC:019B PCMEM:F0,44,FE,94
A:04 F:70 B:00 C:13 D:00 E:D8 H:01 L:4D SP:FFFE PC:019D PCMEM:FE,94,20,FA
A:04 F:50 B:00 C:13 D:00 E:D8 H:01 L:4D SP:FFFE PC:019F PCMEM:20,FA,3E,03
A:04 F:50 B:00 C:13 D:00 E:D8 H:01 L:4D SP:FFFE PC:019B PCMEM:F0,44,FE,94
A:04 F:50 B:00 C:13 D:00 E:D8 H:01 L:4D SP:FFFE PC:019D PCMEM:FE,94,20,FA
A:04 F:50 B:00 C:13 D:00 E:D8 H:01 L:4D SP:FFFE PC:019F PCMEM:20,FA,3E,03
A:04 F:50 B:00 C:13 D:00 E:D8 H:01 L:4D SP:FFFE PC:019B PCMEM:F0,44,FE,94
A:04 F:50 B:00 C:13 D:00 E:D8 H:01 L:4D SP:FFFE PC:019D PCMEM:FE,94,20,FA
A:04 F:50 B:00 C:13 D:00 E:D8 H:01 L:4D SP:FFFE PC:019F PCMEM:20,FA,3E,03
A:04 F:50 B:00 C:13 D:00 E:D8 H:01 L:4D SP:FFFE PC:019B PCMEM:F0,44,FE,94
A:04 F:50 B:00 C:13 D:00 E:D8 H:01 L:4D SP:FFFE PC:019D PCMEM:FE,94,20,FA
A:04 F:50 B:00 C:13 D:00 E:D8 H:01 L:4D SP:FFFE PC:019F PCMEM:20,FA,3E,03
A:04 F:50 B:00 C:13 D:00 E:D8 H:01 L:4D SP:FFFE PC:019B PCMEM:F0,44,FE,94
A:04 F:50 B:00 C:13 D:00 E:D8 H:01 L:4D SP:FFFE PC:019D PCMEM:FE,94,20,FA
A:04 F:50 B:00 C:13 D:00 E:D8 H:01 L:4D SP:FFFE PC:019F PCMEM:20,FA,3E,03
A:04 F:50 B:00 C:13 D:00 E:D8 H:01 L:4D SP:FFFE PC:019B PCMEM:F0,44,FE,94
A:04 F:50 B:00 C:13 D:00 E:D8 H:01 L:4D SP:FFFE PC:019D PCMEM:FE,94,20,FA
A:04 F:50 B:00 C:13 D:00 E:D8 H:01 L:4D SP:FFFE PC:019F PCMEM:20,FA,3E,03
A:04 F:50 B:00 C:13 D:00 E:D8 H:01 L:4D SP:FFFE PC:019B PCMEM:F0,44,FE,94
A:04 F:50 B:00 C:13 D:00 E:D8 H:01 L:4D SP:FFFE PC:019D PCMEM:FE,94,20,FA
A:04 F:50 B:00 C:13 D:00 E:D8 H:01 L:4D SP:FFFE PC:019F PCMEM:20,FA,3E,03
A:04 F:50 B:00 C:13 D:00 E:D8 H:01 L:4D SP:FFFE PC:019B PCMEM:F0,44,FE,94
A:04 F:50 B:00 C:13 D:00 E:D8 H:01 L:4D SP:FFFE PC:019D PCMEM:FE,94,20,FA
A:04 F:50 B:00 C:13 D:00 E:D8 H:01 L:4D SP:FFFE PC:019F PCMEM:20,FA,3E,03
A:04 F:50 B:00 C:13 D:00 E:D8 H:01 L:4D SP:FFFE PC:019B PCMEM:F0,44,FE,94
A:04 F:50 B:00 C:13 D:00 E:D8 H:01 L:4D SP:FFFE PC:019D PCMEM:FE,94,20,FA
A:04 F:50 B:00 C:13 D:00 E:D8 H:01 L:4D SP:FFFE PC:019F PCMEM:20,FA,3E,03
